제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
이동 생 쌀 막걸리,"포천의 이동주조는 군사지역인 탓에 군인들이 거주하는 경우가 많았는데, 이들이 제대한 후에도 이동막걸리를 잊지 못해 찾아오며 이름을 알리기 시작",6,750ml,"정제수, 백미, 팽화미, 입국, 아스파탐 등",,적절한 산미가 음식맛을 도드라져 갈비찜과 어울린다.,Y,이동주조,경기도 포천시 이동면 화동로 2466,http://edongricewine.modoo.at/,
연천 율무 동동주,"경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩, 열천에서 재배된 율무로 빚은 알콜올 15%의 ",14,750ml,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",,알콜올 도수가 14%로 일반 막걸리의 2배가 넘는 만큼 한여름에는 얼음을 넣어 온더록스로 한잔해도 충분히 제 역할을 하는 제품입니다.,Y,농업회사법인 연천양조㈜,경기도 연천군 마산면 청정로 1738번길 15,https://ksool88.modoo.at/?NaPm=ct%3Dkj7xdaia%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D7a2095c72e4d037a16692c63a0a54b00c1b9f400,
행운 생유자 동동주,유자 동동주는 거제도의 특산품 유자를 활용하여 생산한 막걸리다. 유자 추출액을 발효된 막걸리에 첨가하는 방식이 아니라 발효과정에 첨가하여 제대,6,750ml / 1700ml,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",,술을 마시고 난 후에도 매우 개운하다. 산미와 신선함이 자칫 술 맛을 가볍게 만들 수 있는데 쌀과 밀을 함께 이용해 적절한 무게감을 갖게 만들,Y,성포양조장,경남 거제시 사등면 지석3길3,http://성포양조장.kr,
오산막걸리,오산막걸리는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리다. 인위적인 탄산감이 없어 마,6,500ml,"쌀(국내산), 국, 효모, 정제수",,술을 마시고 난 후에도 개운하고 아주 약하게 남는 곡물의 느낌이 음식과의 조화를 잘 갖추게 해준다. 고기류 보다는 홍어나 오징어 등 무침류와 ,Y,농업회사법인 오산양조㈜,경기도 오산시 시장길 63,http://osansool.com/,
오미자 생막걸리,다섯 가지 맛이 난다고 하여 붙여진 이름처럼 문경주조의 오미자 막걸리는 마실 때마다 색다른 맛을 느낄 수 있다. 과하지 않은 달콤함과 새콤함의,6.5,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",2015 찾아가는 양조장,"산뜻한 오미자 특유의 산미 향이 코를 자극시키며, 오미자의 특징인 오미의 조화가 잘 갖춰진 색이 아름다운 막걸리다. 소고기 구이와 잘 어울린다",Y,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,
가야 프리미엄 막걸리,풍부한 일조량은 받고 자란 김해 쌀로 만든 가야는 감미료를 전혀 넣지 않았음에도 꽃 향기 등이 나고 새콤달콤한 맛을 느낄 수 있다. 상쾌한 감,6,750ml,김해 쌀(100%),,"인공탄산, 인공 감밀가 들어가지 않아 우리나라의 다양한 음식들과 잘 어울린다.",Y,가야양조장,경남 김해시 한림면 한림로 46번길 79-1,https://www.instagram.com/gaya_brewery/?hl=ko,
오매백주,오산백주는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리다. 인위적인 탄산감이 없어 마시,12,500ml,"쌀(국내산), 국, 효모, 정제수",,같은 양조장에서 나오는 오산막걸리와는 완전히 다른 느낌으로 견과류와 잘 어울린다.,Y,농업회사법인 오산양조(주),경기도 오산시 시장길 63,http://osansool.com/,
오곡 진상주,"대강양조장에서 생산하고 있는 오곡 진상주는 이름처럼 쌀, 밀, 옥수수, 보리, 조 의 다섯 가지의 곡류로 만들어 마시는 이의 건강을 생각하였으",7,750ml,"쌀, 밀, 보리, 옥수수, 조 등",,고소한 맛이 특징으로 백설기와 잘 어울린다.,Y,대강양조장,충북 단양군 대강면 대강로 60,http://www.krwine.com,
영일만친구 막걸리,"영일만친구 막걸리는 경북 포항을 대표하는 우리쌀로 빚은 막걸리다. 영일만친구 막걸리는 포항시청에서 브랜드를 만들고, 포항공대에서 연구개발하고,",6,750ml,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",,영일만 친구는 우뭇가사리를 넣은 술이다. 우뭇가사리의 풍부한 식이섬유를 함께 마시는 즐거움이 있다. 역시 우뭇가사리 무침과 잘 어울린다.,Y,동해명주,경북 포항시 남구 동해면 일월리 51-1,https://www.yangjo.com/,
연천 아주,경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩으로 빚은 쌀막걸리 연천아주는 어머니와 할머니가 ,8,750ml,"쌀(국내산), 누룩, 정제수",,"지역이 연천인 만큼 임진강에서 잡히는 민물고기 매운탕과 함께 즐긴다면, 매운탕 특유의 매운맛을 연천 아주가 잘 잡아준다.",Y,농업회사법인 연천양조㈜,경기도 연천군 마산면 청정로 1738번길 15,https://ksool88.modoo.at/?NaPm=ct%3Dkj7xdaia%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D7a2095c72e4d037a16692c63a0a54b00c1b9f400,
얼떨결에,얼떨결에 스파클링 막걸리는 영월지역에서 생산되는 햅쌀과 국내산 원료를 이용하여 술을빚는 강원도 영월의 지역특산주다. 얼떨결에 스파클링은 자연탄,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",,"탕류, 치킨과 잘 어울린다.",Y,동강주조,강원도 영월군 영월읍 덕포하리 5길 33,https://www.instagram.com/eastriver_brewery/,
아이싱 자몽,"아이싱 자몽은 기분까지 리프레싱 시켜주는 맛있는 술이다. 하얀 쌀과 유산균 자연발효를 통해 부드러운 맛과 상큼함을 살려 뽀얗고 산뜻한 술로, ",4,"350ml, 300ml","쌀, 자몽엑기스",,술을 마시고 난 후에 미세하게 남는 쓴맛과 알코올맛을 느낄 수 있다. 케익 등 디저트 음식과 잘 어울린다.,Y,국순당,강원도 횡성군 둔내면 현천리 120,http://drink.ksdb.co.kr/,
소양강 생 막걸리,소양강 생 막걸리는 100% 국내산 쌀을 이용하며 춘천의 깨끗한 자연환경 아래서 빚어내는 막걸리다. 일반적으로 기간이나 온도를 조절해 막걸리를,6,750ml/ 1700ml,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수",,밀가루와 팽화미를 이용해 고소한 맛과 텁텁함이 있다. 단맛이 적고 산미가 도드라지며 목넘김이 깔끔하며 마시고 난 뒤 쓴맛의 여운이 길다. 황태,Y,"소양강도가(구, 천정양조장)",강원도 춘천시 신북읍 율문길 65-5,http://sygdoga.modoo.at/,
세종대왕어주 탁주,"세종대왕어주 탁주는 국내산 찹쌀과 멥쌀, 전통누룩을 사용하여 세계3대 광천수로 유명한 초정리의 암반수로 빚은 술이다. 저온에서 오랜시간 숙성하",13,500ml,"쌀(국내산), 누룩, 정제수",,술을 마시고 난 후에 혀에 남는 미세한 곡물의 느낌이 음식을 당기게 하며 일반 막걸리에 비해 도수(13%)가 높기 때문에 작은 잔에 식사와 함,Y,장희도가,충북 청주 청원구 내수읍 미원초정로 1275,https://jhdg3491.modoo.at/,
