상호명,주소,홈페이지,상시방문가능여부,예약방문가능여부,사용여부,조회수
산머루농원,경기 파주시 적성면 객현리 67-1,http://www.sanmeoru.com,,Y,Y,2565
배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,Y,,Y,3596
우리술,"경기 가평군 하면 대보간선로 26, 29",http://www.woorisool.kr,Y,,Y,2524
그린영농조합,경기도 안산시 단원구 뻐꾹산길 107,http://www.grandcoteau.co.kr,Y,,Y,1973
배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,Y,Y,2516
밝은세상영농조합,경기도 평택시 포승읍 충열길 37,https://www.instagram.com/tigercalyx/?hl=ko,,Y,Y,1769
좋은술,경기 평택시 오성면 숙성뜰길 108,https://jsul.modoo.at/,Y,,Y,1722
술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,Y,,Y,2186
신평양조장,충남 당진시 신평면 신평로 813,http://www.koreansul.co.kr,Y,,Y,1434
예산사과와인,충남 예산군 고덕면 대몽로 107-25,http://www.chusawine.com,Y,,Y,1629
양촌양조,충남 논산시 양촌면 매죽헌로1665번길 14-9,http://www.yangchon.co.kr/,Y,,Y,1806
한산소곡주,충남 서천군 한산면 충절로 1118,http://www.sogokju.co.kr,Y,,Y,1513
중원당,충북 충주시 가금면 창동리 243,http://www.청명주.com/,,Y,Y,1391
대강양조장,충북 단양군 대강면 대강로 60,http://www.krwine.com,Y,,Y,1408
조은술 세종,충북 청주시 청원구 사천로 18길 5-2,http://www.joeunsulsj.co.kr,,Y,Y,1656
이원양조장,충청북도 옥천군 이원면 묘목로 113,http://iwonwine.com/new/index.php,Y,,Y,1453
여포와인농장,충북 영동군 양강면 유점지촌길 75,https://yeopo.modoo.at/,Y,,Y,1002
시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,https://www.bhwinery.com/index,Y,Y,Y,1129
도란원,충청북도 영동군 매곡면 옥전리 825-1,http://xn--hg3b13gpoq4muubvz4a.kr/,Y,,Y,1380
태인합동주조장,전북 정읍시 태인면 태흥리 392-1,http://www.태인양조장.com/,,Y,Y,1167
지리산 운봉주조,전북 남원시 운봉읍 서천리 622번지,http://www.herbsul.com/,Y,Y,Y,1525
청산녹수,전라남도 장성군 장섭읍 남양촌길 19,http://www.bluegreenkorea.co.kr,N,Y,Y,1499
추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,,Y,Y,1913
대대로영농조합법인,전남 진도군 군내면 둔전리 98,http://www.e-hongju.co.kr,Y,,Y,1438
해창주조장,전남 해남군 화산면 해창길 1,https://haechangjujo.modoo.at/,Y,,Y,1300
예술주조,강원도 춘천시 신동면 풍류1길 6-3,http://www.ye-sul.co.kr,Y,Y,Y,1607
국순당,강원도 횡성군 둔내면 현천리 120,http://drink.ksdb.co.kr/,,Y,Y,2023
울진술도가,경상북도 울진군 근남면 노음2길 4,,Y,Y,Y,1519
오미나라,경북 문경시 문경읍 새재로 609,http://www.omynara.com/,Y,,Y,1225
문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,Y,,Y,1771
명인안동소주,경북 안동시 풍산읍 산업단지6길 6,http://www.adsoju.com,Y,,Y,2148
한국애플리즈,경북 의성군 단촌면 일직점곡로 755,http://www.applewine.co.kr/,Y,,Y,930
은척양조장,경북 상주시 은척면 봉중2길 16-4,https://takbaeki.modoo.at/,Y,,Y,1001
한국와인,경상북도 영천시 금호읍 원기리 414-2,http://www.vincoreewinery.com/,Y,,Y,957
고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,Y,,Y,1849
수도산와이너리,경상북도 김천시 증산면 금곡리 226-1번지,https://smartstore.naver.com/sdsmeru/profile,Y,Y,Y,1011
복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,Y,,Y,2057
금정산성 토산주,부산 금정구 산성로 453,http://www.sanmak.kr/,Y,,Y,1553
제주샘주,제주 제주시 애월읍 애원로 283,http://www.jejusaemju.co.kr,Y,,Y,1237
제주고소리술익는집,제주도 서귀포시 표선면 중산간동로 4726,http://jejugosorisul.com/,Y,,Y,1357
모월,강원 원주시 판부면 판부신촌길 84,http://www.mowall.co.kr/,N,N,Y,1306
술아원,경기 여주 점봉길 93-12,http://soolawon.co.kr/,N,N,Y,1383
장희도가,충북 청주 청원구 내수읍 미원초정로 1275,https://jhdg3491.modoo.at/,N,N,Y,1086
하미앙 와인밸리,경남 함양군 함양읍 삼봉로 442-14,https://www.sanmuru.com,N,Y,Y,1000
풍정사계,충청북도 청주시 청원구 내수읍 풍정1길 8-2,https://www.hwayang.co/,Y,Y,Y,863
솔송주,경상남도 함양군 지곡면 지곡창촌길 3,https://www.solsongju.com/,Y,,Y,746
금풍양조,인천 강화군 길상면 삼랑성길 8,https://www.instagram.com/on_sul/,N,N,Y,863
오산양조,경기도 오산시 중앙동 시장길 63,https://www.osansool.com/,Y,Y,Y,864
산막와이너리,충북 영동군 영동읍 산막골길 31-45,http://www.sanmacwine.com/web/main/,Y,Y,Y,706
맑은내일,경남 창원시 삼귀로 411-8,https://www.good-tomorrow.co.kr/,N,Y,Y,1216
인천탁주,인천광역시 부평구 안남로 433번길 14,http://sosungju.modoo.at/,,,Y,448
술빚는 전가네,경기도 포천시 영북면 산정호수로 335,https://www.sooldoga.com/home,N,,Y,542
두레양조,충청남도 천안시 서북구 입장면 율목길 17-6,https://shopping.naver.com/fresh/traditionalalcohol/stores/100293334,N,,Y,384
양촌와이너리,충청남도 논산시 양촌면 황산벌로 1075-21,https://smartstore.naver.com/choosi/?NaPm=ct%3Dlkm6j0d2%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3Dnull%7Chk%3D1c05f130954f743bc8fb02b7bf901eade5a17fdc,N,,Y,775
덕유양조,전라북도 무주군 안성면 장무로 1375-7,http://www.meoruwine.co.kr/,N,Y,Y,501
갈기산,충북 영동군 학산면 모리1길 4,www.four-m.net,N,Y,Y,43
다도참주가,전남 나주시 다도면 신촌2길 9,http://chamjuga.com,N,Y,Y,73
밀과노닐다,경북 안동시 도산면 가송길 162-123,www.jinmaek.co,N,Y,Y,44
국가유산·명인 조옥화 안동소주,경북 안동시 강남로 71-1,www.andongsoju.com,N,Y,Y,112
